code,year,gini,PPPI,sch_male,sch_female,log(GNI_PC),growth
THA,1990.0,51.5,50.15,0.86,0.62,7.78322401634,-0.0374668197235
TTO,1970.0,51.0,111.95,0.83,0.74,7.68248244653,0.157104100138
TTO,1975.0,46.09,112.2,1.03,0.97,8.46800294723,0.042601665884
TTO,1980.0,41.72,81.35,1.23,1.21,8.68101127665,-0.0924448242088
TUN,1970.0,50.6,107.92,0.65,0.19,6.41345895717,0.123302790908
TUN,1975.0,49.6,128.07,0.94,0.29,7.02997291171,0.00865936115066
TUN,1980.0,49.6,94.73,1.24,0.43,7.07326971746,0.0209025397471
TUN,1985.0,46.84,91.37,1.49,0.64,7.1777824162,0.0567715952027
TUR,1965.0,56.0,41.15,0.52,0.19,6.32793678373,0.138629436112
TUR,1970.0,51.0,50.69,0.63,0.25,7.02108396429,0.101449560484
UGA,1985.0,39.6,218.17,0.53,0.17,5.76832099579,-0.115072828981
UGA,1990.0,47.38,177.4,0.69,0.27,5.19295685089,0.0953848144181
USA,1960.0,34.64,86.33,3.71,3.79,8.26359043262,0.0646257642895
USA,1965.0,34.06,84.11,4.26,4.3,8.58671925406,0.0929250772842
USA,1970.0,34.42,86.52,4.75,4.76,9.05134464049,0.090482267158
USA,1975.0,35.2,88.48,5.14,5.11,9.50375597628,0.0533542898008
USA,1980.0,37.26,83.84,4.88,5.26,9.77052742528,0.0643024467602
USA,1985.0,37.8,74.45,4.8,5.37,10.0920396591,0.0277902920188
USA,1990.0,37.94,71.18,5.43,5.44,10.2309911192,0.0393266142374
VEN,1970.0,47.65,92.18,1.38,1.12,7.77904864493,0.109880484379
VEN,1975.0,39.42,105.97,1.72,1.53,8.32845106682,-0.0364643113588
VEN,1980.0,42.82,71.15,1.56,1.46,8.14612951003,-0.0131784187617
VEN,1985.0,53.84,67.65,1.35,1.32,8.08023741622,-0.0418615638923
