code,year,gini,PPPI,sch_male,sch_female,log(GNI_PC),growth,gini_growth
TTO,1975.0,46.09,112.2,1.03,0.97,8.65620364587,0.0183938915086,-0.982
TTO,1980.0,41.72,81.35,1.23,1.21,8.74817310342,-0.0835763719802,-0.874
TUN,1975.0,49.6,128.07,0.94,0.29,7.05321660761,0.00266714189668,-0.2
TUN,1980.0,49.6,94.73,1.24,0.43,7.06655231709,0.0159315694639,0.0
TUN,1985.0,46.84,91.37,1.49,0.64,7.14621016441,0.0675538911129,-0.552
USA,1960.0,34.64,86.33,3.71,3.79,8.24997421039,0.0630830782611,-0.048
USA,1965.0,34.06,84.11,4.26,4.3,8.56538960169,0.0798117208164,-0.116
USA,1970.0,34.42,86.52,4.75,4.76,8.96444820577,0.0953637503579,0.072
USA,1975.0,35.2,88.48,5.14,5.11,9.44126695756,0.0743434127929,0.156
USA,1980.0,37.26,83.84,4.88,5.26,9.81298402153,0.0541853186508,0.412
USA,1985.0,37.8,74.45,4.8,5.37,10.0839106148,0.0296079765794,0.108
VEN,1975.0,39.42,105.97,1.72,1.53,8.38374351776,-0.0558630047816,-1.646
VEN,1980.0,42.82,71.15,1.56,1.46,8.10442849385,-0.013738099207,0.68
VEN,1985.0,53.84,67.65,1.35,1.32,8.03573799782,-0.034351966382,2.204
