"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","ALB"," Total","Albania","BHR","Bahrain","2010","Export","6","11.993"
"H0","ALB"," Total","Albania","BHR","Bahrain","2010","Import","5","3.146"
"H0","ALB"," Total","Albania","BHS","Bahamas, The","2010","Import","5","84.545"
"H0","ALB"," Total","Albania","BIH","Bosnia and Herzegovina","2010","Export","6","3096.517"
"H0","ALB"," Total","Albania","BIH","Bosnia and Herzegovina","2010","Import","5","36369.311"
"H0","ALB"," Total","Albania","BLR","Belarus","2010","Export","6","11.313"
"H0","ALB"," Total","Albania","BLR","Belarus","2010","Import","5","1030.231"
"H0","ALB"," Total","Albania","BLZ","Belize","2010","Export","6","9.408"
"H0","ALB"," Total","Albania","BLZ","Belize","2010","Import","5","40.286"
"H0","ALB"," Total","Albania","BOL","Bolivia","2010","Export","6","298.157"
"H0","ALB"," Total","Albania","BOL","Bolivia","2010","Import","5","12.654"
"H0","ALB"," Total","Albania","BRA","Brazil","2010","Export","6","2676.716"
"H0","ALB"," Total","Albania","BRA","Brazil","2010","Import","5","42489.832"
"H0","ALB"," Total","Albania","BRB","Barbados","2010","Import","5","16.806"
"H0","ALB"," Total","Albania","BRN","Brunei","2010","Import","5","11.971"
"H0","ALB"," Total","Albania","CAF","Central African Republic","2010","Export","6","1.296"
"H0","ALB"," Total","Albania","CAF","Central African Republic","2010","Import","5","8.027"
"H0","ALB"," Total","Albania","CAN","Canada","2010","Export","6","931.616"
"H0","ALB"," Total","Albania","CAN","Canada","2010","Import","5","12446.500"
"H0","ALB"," Total","Albania","CCK","Cocos (Keeling) Islands","2010","Import","5",".683"
"H0","ALB"," Total","Albania","CHE","Switzerland","2010","Export","6","64227.349"
"H0","ALB"," Total","Albania","CHE","Switzerland","2010","Import","5","71281.281"
"H0","ALB"," Total","Albania","CHL","Chile","2010","Export","6","2.835"
"H0","ALB"," Total","Albania","CHL","Chile","2010","Import","5","185.744"
"H0","ALB"," Total","Albania","CHN","China","2010","Export","6","85172.417"
"H0","ALB"," Total","Albania","CHN","China","2010","Import","5","290730.175"
"H0","ALB"," Total","Albania","CIV","Cote d'Ivoire","2010","Import","5","207.166"
"H0","ALB"," Total","Albania","CMR","Cameroon","2010","Import","5","87.220"
"H0","ALB"," Total","Albania","COG","Congo, Rep.","2010","Export","6","70.206"
"H0","ALB"," Total","Albania","COG","Congo, Rep.","2010","Import","5","9.702"
"H0","ALB"," Total","Albania","COL","Colombia","2010","Import","5","322.375"
"H0","ALB"," Total","Albania","COM","Comoros","2010","Export","6","65.172"
"H0","ALB"," Total","Albania","COM","Comoros","2010","Import","5","2.076"
"H0","ALB"," Total","Albania","CPV","Cape Verde","2010","Import","5","80.291"
"H0","ALB"," Total","Albania","CRI","Costa Rica","2010","Import","5","879.861"
"H0","ALB"," Total","Albania","CUB","Cuba","2010","Import","5","87.442"
"H0","ALB"," Total","Albania","CYM","Cayman Islands","2010","Export","6","1058.545"
"H0","ALB"," Total","Albania","CYP","Cyprus","2010","Export","6","465.088"
"H0","ALB"," Total","Albania","CYP","Cyprus","2010","Import","5","3157.738"
"H0","ALB"," Total","Albania","CZE","Czech Republic","2010","Export","6","16795.972"
"H0","ALB"," Total","Albania","CZE","Czech Republic","2010","Import","5","64947.901"
"H0","ALB"," Total","Albania","DEU","Germany","2010","Export","6","43303.617"
"H0","ALB"," Total","Albania","DEU","Germany","2010","Import","5","258197.797"
"H0","ALB"," Total","Albania","DMA","Dominica","2010","Import","5","5.854"
"H0","ALB"," Total","Albania","DNK","Denmark","2010","Export","6","429.882"
"H0","ALB"," Total","Albania","DNK","Denmark","2010","Import","5","7996.101"
"H0","ALB"," Total","Albania","DOM","Dominican Republic","2010","Import","5","152.753"
"H0","ALB"," Total","Albania","DZA","Algeria","2010","Import","5","6057.103"
"H0","ALB"," Total","Albania","ECU","Ecuador","2010","Import","5","12404.618"
"H0","ALB"," Total","Albania","EGY","Egypt, Arab Rep.","2010","Export","6","5324.991"
"H0","ALB"," Total","Albania","EGY","Egypt, Arab Rep.","2010","Import","5","16785.666"
"H0","ALB"," Total","Albania","ESP","Spain","2010","Export","6","53217.473"
"H0","ALB"," Total","Albania","ESP","Spain","2010","Import","5","71893.224"
"H0","ALB"," Total","Albania","EST","Estonia","2010","Export","6","84.932"
"H0","ALB"," Total","Albania","EST","Estonia","2010","Import","5","149.016"
"H0","ALB"," Total","Albania","ETH","Ethiopia(excludes Eritrea)","2010","Import","5","125.353"
"H0","ALB"," Total","Albania","FIN","Finland","2010","Export","6","163.938"
"H0","ALB"," Total","Albania","FIN","Finland","2010","Import","5","14840.995"
"H0","ALB"," Total","Albania","FLK","Falkland Island","2010","Import","5","325.403"
"H0","ALB"," Total","Albania","FRA","France","2010","Export","6","13184.795"
"H0","ALB"," Total","Albania","FRA","France","2010","Import","5","100161.977"
"H0","ALB"," Total","Albania","GAB","Gabon","2010","Import","5","101.278"
"H0","ALB"," Total","Albania","GBR","United Kingdom","2010","Export","6","2368.210"
"H0","ALB"," Total","Albania","GBR","United Kingdom","2010","Import","5","67365.796"
"H0","ALB"," Total","Albania","GEO","Georgia","2010","Import","5","5339.816"
"H0","ALB"," Total","Albania","GIB","Gibraltar","2010","Import","5","1.746"
"H0","ALB"," Total","Albania","GRC","Greece","2010","Export","6","83798.480"
"H0","ALB"," Total","Albania","GRC","Greece","2010","Import","5","602570.600"
"H0","ALB"," Total","Albania","GRD","Grenada","2010","Import","5","3.916"
"H0","ALB"," Total","Albania","GTM","Guatemala","2010","Export","6","12.238"
"H0","ALB"," Total","Albania","GTM","Guatemala","2010","Import","5","52.457"
"H0","ALB"," Total","Albania","HKG","Hong Kong, China","2010","Export","6","622.539"
"H0","ALB"," Total","Albania","HKG","Hong Kong, China","2010","Import","5","3069.035"
"H0","ALB"," Total","Albania","HND","Honduras","2010","Import","5","89.842"
"H0","ALB"," Total","Albania","HRV","Croatia","2010","Export","6","2421.065"
"H0","ALB"," Total","Albania","HRV","Croatia","2010","Import","5","88427.218"
"H0","ALB"," Total","Albania","HTI","Haiti","2010","Import","5",".024"
"H0","ALB"," Total","Albania","HUN","Hungary","2010","Export","6","481.507"
"H0","ALB"," Total","Albania","HUN","Hungary","2010","Import","5","40226.958"
"H0","ALB"," Total","Albania","IDN","Indonesia","2010","Export","6","72.313"
"H0","ALB"," Total","Albania","IDN","Indonesia","2010","Import","5","4789.876"
"H0","ALB"," Total","Albania","IND","India","2010","Export","6","152.327"
"H0","ALB"," Total","Albania","IND","India","2010","Import","5","39295.030"
"H0","ALB"," Total","Albania","IOT","British Indian Ocean Ter.","2010","Import","5","1021.401"
"H0","ALB"," Total","Albania","IRL","Ireland","2010","Export","6","17.061"
"H0","ALB"," Total","Albania","IRL","Ireland","2010","Import","5","15418.964"
"H0","ALB"," Total","Albania","IRN","Iran, Islamic Rep.","2010","Export","6","133.466"
"H0","ALB"," Total","Albania","IRN","Iran, Islamic Rep.","2010","Import","5","973.954"
"H0","ALB"," Total","Albania","IRQ","Iraq","2010","Export","6","26.361"
"H0","ALB"," Total","Albania","ISL","Iceland","2010","Export","6","1623.646"
"H0","ALB"," Total","Albania","ISL","Iceland","2010","Import","5","1243.841"
"H0","ALB"," Total","Albania","ISR","Israel","2010","Export","6","521.080"
"H0","ALB"," Total","Albania","ISR","Israel","2010","Import","5","38043.665"
"H0","ALB"," Total","Albania","ITA","Italy","2010","Export","6","787543.147"
"H0","ALB"," Total","Albania","ITA","Italy","2010","Import","5","1298056.507"
"H0","ALB"," Total","Albania","JOR","Jordan","2010","Export","6","460.664"
"H0","ALB"," Total","Albania","JOR","Jordan","2010","Import","5","582.254"
"H0","ALB"," Total","Albania","JPN","Japan","2010","Export","6","529.239"
"H0","ALB"," Total","Albania","JPN","Japan","2010","Import","5","22792.668"
"H0","ALB"," Total","Albania","KAZ","Kazakhstan","2010","Export","6","264.560"
"H0","ALB"," Total","Albania","KAZ","Kazakhstan","2010","Import","5","3962.216"
"H0","ALB"," Total","Albania","KEN","Kenya","2010","Import","5","23.956"
"H0","ALB"," Total","Albania","KGZ","Kyrgyz Republic","2010","Import","5","38.490"
"H0","ALB"," Total","Albania","KHM","Cambodia","2010","Export","6","6.718"
"H0","ALB"," Total","Albania","KHM","Cambodia","2010","Import","5","10.894"
"H0","ALB"," Total","Albania","KIR","Kiribati","2010","Import","5",".048"
"H0","ALB"," Total","Albania","KOR","Korea, Rep.","2010","Export","6","5.490"
"H0","ALB"," Total","Albania","KOR","Korea, Rep.","2010","Import","5","19817.164"
"H0","ALB"," Total","Albania","KWT","Kuwait","2010","Export","6","42.914"
"H0","ALB"," Total","Albania","KWT","Kuwait","2010","Import","5","1603.097"
"H0","ALB"," Total","Albania","LBN","Lebanon","2010","Import","5","97.270"
"H0","ALB"," Total","Albania","LBR","Liberia","2010","Export","6","12.092"
"H0","ALB"," Total","Albania","LBY","Libya","2010","Export","6","10934.879"
"H0","ALB"," Total","Albania","LKA","Sri Lanka","2010","Import","5","62.907"
"H0","ALB"," Total","Albania","LTU","Lithuania","2010","Export","6","205.216"
"H0","ALB"," Total","Albania","LTU","Lithuania","2010","Import","5","747.455"
"H0","ALB"," Total","Albania","LUX","Luxembourg","2010","Export","6","8560.627"
"H0","ALB"," Total","Albania","LUX","Luxembourg","2010","Import","5","450.052"
"H0","ALB"," Total","Albania","LVA","Latvia","2010","Export","6","144.381"
"H0","ALB"," Total","Albania","LVA","Latvia","2010","Import","5","336.873"
"H0","ALB"," Total","Albania","MAC","Macao","2010","Import","5","36.751"
"H0","ALB"," Total","Albania","MAR","Morocco","2010","Export","6","12.130"
"H0","ALB"," Total","Albania","MAR","Morocco","2010","Import","5","830.201"
"H0","ALB"," Total","Albania","MDA","Moldova","2010","Export","6","20.161"
"H0","ALB"," Total","Albania","MDA","Moldova","2010","Import","5","4562.203"
"H0","ALB"," Total","Albania","MDG","Madagascar","2010","Export","6","4.904"
"H0","ALB"," Total","Albania","MDG","Madagascar","2010","Import","5","1.114"
"H0","ALB"," Total","Albania","MEX","Mexico","2010","Export","6",".001"
"H0","ALB"," Total","Albania","MEX","Mexico","2010","Import","5","3335.152"
"H0","ALB"," Total","Albania","MHL","Marshall Islands","2010","Export","6","21.593"
"H0","ALB"," Total","Albania","MKD","Macedonia, FYR","2010","Export","6","25958.571"
"H0","ALB"," Total","Albania","MKD","Macedonia, FYR","2010","Import","5","72575.791"
"H0","ALB"," Total","Albania","MLI","Mali","2010","Export","6","5.040"
"H0","ALB"," Total","Albania","MLI","Mali","2010","Import","5","47.291"
"H0","ALB"," Total","Albania","MLT","Malta","2010","Export","6","11761.175"
"H0","ALB"," Total","Albania","MLT","Malta","2010","Import","5","2342.425"
"H0","ALB"," Total","Albania","MMR","Myanmar","2010","Import","5","140.655"
"H0","ALB"," Total","Albania","MNG","Mongolia","2010","Import","5",".724"
