,year,country,contcod,mean,region,gdpppp,pop,expgdp,xpo,mpo,gdp,openness,dfigdp,er,inf,nint,rint,democr2,m2gdp,kopen,expk,impk,rgdpch,open_ppp,share1,share2,share3,share4,share5,share6,share7,share8,share9,share10
4109,1992,Tunisia,TUN,,1.0,4864.0,8.514700000000001,0.3199999928474426,6013.0,7236.0,15497.3994140625,0.8549176454544067,3.392827272415161,0.8840000033378601,5.800000190734863,,,0.0,0.4659663736820221,0.9125437140464783,6803985361.0,7827117937.0,5239.0361328125,0.3370881676673889,,,,,,,,,,
4110,1993,Tunisia,TUN,2177.0,1.0,4880.0,8.67583,0.33000001311302185,5786.0,7166.0,14608.8466796875,0.88658607006073,3.846299648284912,1.003999948501587,4.0,,,0.0,0.4619329273700714,0.9136172533035278,7033298146.0,8041505608.0,5290.64404296875,0.3375353515148163,0.3045475482940674,0.41203489899635315,0.5167661905288696,0.6338998675346375,0.7570050358772278,0.8994028568267822,1.091869592666626,1.362884759902954,1.893431305885315,2.1267800331115723
4111,1994,Tunisia,TUN,,1.0,4958.0,8.823690000000001,0.3199999928474426,6910.0,7572.0,15625.7412109375,0.9268040060997009,2.7646689414978027,1.0119999647140503,4.699999809265137,,,1.0,0.4630294442176819,0.9376296401023865,7950010589.0,8321660845.0,5468.8115234375,0.346558153629303,,,,,,,,,,
4112,1995,Tunisia,TUN,,1.0,5000.0,8.9575,0.33000001311302185,7979.0,8811.0,17986.994140625,0.9334522485733032,1.4693949222564697,0.9459999799728394,6.199999809265137,,,1.0,0.45857658982276917,0.9383567571640015,8087058458.0,8578084715.0,5513.1123046875,0.3468267321586609,,,,,,,,,,
4113,1996,Tunisia,TUN,,1.0,5267.0,9.0893,0.33000001311302185,8151.0,8524.0,19587.21875,0.8513204455375671,1.2166097164154053,0.9729999899864197,3.700000047683716,,,1.0,0.4640849530696869,0.8578621745109558,8030000128.0,8326000128.0,5830.0498046875,0.3172207176685333,,,,,,,,,,
4114,1997,Tunisia,TUN,,1.0,5476.0,9.215,0.3199999928474426,8172.0,8696.0,18899.810546875,0.8924956917762756,1.794197916984558,1.1059999465942383,3.700000047683716,,,1.0,0.4929391145706177,0.8916062712669373,8841241785.0,9054516833.0,6053.75390625,0.3296986520290375,,,,,,,,,,
4115,1998,Tunisia,TUN,2477.0,1.0,5676.0,9.3353,0.3199999928474426,8481.0,9132.0,19850.091796875,0.8873006701469421,3.273536443710327,1.1390000581741333,3.0999999046325684,,,1.0,0.4805554151535034,0.8933517932891846,9232564467.0,9568763797.0,6267.2490234375,0.33027103543281555,0.22365765273571014,0.3447718918323517,0.44125959277153015,0.5490512847900391,0.6604763865470886,0.7973355054855347,0.9765845537185669,1.2103351354599,1.6883326768875122,3.1053693294525146
4116,1999,Tunisia,TUN,,1.0,5952.0,9.5635,0.3199999928474426,8793.0,9249.0,20969.98828125,0.8603724241256714,1.6680982112884521,1.1859999895095825,2.700000047683716,,,1.0,0.5193321108818054,0.8732782602310181,9668266135.0,9858976488.0,6572.80859375,0.3192715644836426,,,,,,,,,,
4117,2000,Tunisia,TUN,,1.0,6162.0,9.6746,0.3199999928474426,8607.0,9311.0,19462.099609375,0.920661211013794,3.86494779586792,1.371000051498413,2.9000000953674316,,,1.0,0.5524961352348328,0.905259370803833,10303878703.0,10807323225.0,6776.23876953125,0.330962210893631,,,,,,,,,,
4118,2001,,TUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4119,2002,,TUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4120,1975,Turkey,TUR,,5.0,3775.0,40.025,,2017.0,4938.0,46678.0,0.14899952709674835,0.2442263960838318,,,,,9.0,,0.18355612456798553,401000000000000.0,758000000000000.0,4340.51171875,,,,,,,,,,,
4121,1976,Turkey,TUR,,5.0,4097.0,40.911248,,2540.0,5389.0,53383.0,0.14853042364120483,0.018732555210590363,,,,,9.0,,0.19451630115509033,495000000000000.0,864000000000000.0,4701.79931640625,,,,,,,,,,,
4122,1977,Turkey,TUR,,5.0,4152.0,41.760008,,2287.0,6193.0,60909.0,0.1392240822315216,0.04432842507958412,,,,,9.0,,0.16194120049476624,337000000000000.0,837000000000000.0,4709.61328125,,,,,,,,,,,
4123,1978,Turkey,TUR,,5.0,4131.0,42.60544,,2755.0,4679.0,67226.0,0.11058221757411957,0.05057566985487938,,,,,9.0,,0.13793045282363892,429000000000000.0,586000000000000.0,4660.0703125,,,,,,,,,,,
4124,1979,Turkey,TUR,,5.0,4017.0,43.502328,,2935.0,5182.0,91727.0,0.08849085122346878,0.08176436275243759,,,,,9.0,,0.12907712161540985,400000000000000.0,544000000000000.0,4535.666015625,,,,,,,,,,,
4125,1980,Turkey,TUR,,5.0,3896.0,44.484,,3621.0,8082.0,70903.0,0.1650564819574356,0.02538679540157318,,,,,9.0,,0.1847570836544037,382000000000000.0,920000000000000.0,4271.8720703125,,,,,,,,,,,
4126,1981,Turkey,TUR,,5.0,3980.0,45.548,,5967.0,9035.0,66455.0,0.225746750831604,0.14295387268066406,,,,,2.0,,0.22087106108665466,625000000000000.0,1040000000000000.0,4487.05908203125,,,,,,,,,,,
4127,1982,Turkey,TUR,,5.0,4022.0,46.696,,7808.0,9549.0,64389.0,0.269564688205719,0.08541831374168396,,,,,2.0,,0.25368744134902954,837000000000000.0,1120000000000000.0,4475.888671875,,,,,,,,,,,
4128,1983,Turkey,TUR,,5.0,4119.0,47.873,,7844.0,10061.0,61518.0,0.29105302691459656,0.0747748613357544,,,,,2.0,,0.27711519598960876,947000000000000.0,1310000000000000.0,4600.59375,,,,,,,,,,,
4129,1984,Turkey,TUR,,5.0,4270.0,49.079,,9609.0,11627.0,59896.0,0.3545478880405426,0.18866033852100372,,,,,7.0,,0.31833234429359436,1190000000000000.0,1570000000000000.0,4764.755859375,,,,,,,,,,,
4130,1985,Turkey,TUR,,5.0,4369.0,50.286,,11119.0,12563.0,67238.0,0.35221153497695923,0.14723816514015198,,,,,7.0,,0.28957831859588623,1160000000000000.0,1470000000000000.0,4887.259765625,,,,,,,,,,,
4131,1986,Turkey,TUR,,5.0,4592.0,51.44,,10580.0,12092.0,75597.0,0.29990607500076294,0.16535048186779022,,,,,7.0,,0.2586005628108978,1110000000000000.0,1410000000000000.0,5130.208984375,,,,,,,,,,,
4132,1987,Turkey,TUR,,5.0,4920.0,52.569,,14135.0,15246.0,86928.0,0.3379923701286316,0.13229338824748993,,,,,7.0,,0.2949274778366089,1400000000000000.0,1740000000000000.0,5510.12255859375,,,,,,,,,,,
4133,1988,Turkey,TUR,,5.0,4916.0,53.723,,17581.0,15631.0,90102.0,0.36860448122024536,0.39288806915283203,,,,,7.0,,0.3055785298347473,1650000000000000.0,1660000000000000.0,5494.5986328125,,,,,,,,,,,
4134,1989,Turkey,TUR,,5.0,4818.0,54.902,,18194.0,18464.0,107030.0,0.34250208735466003,0.6194524765014648,,,,,7.0,,0.31517162919044495,1650000000000000.0,1770000000000000.0,5392.89013671875,,,,,,,,,,,
4135,1990,Turkey,TUR,,5.0,5150.0,56.126,,21042.0,25652.0,150642.0,0.30996668338775635,0.45405665040016174,,,,,9.0,,0.34243854880332947,1690000000000000.0,2360000000000000.0,5739.98828125,,,,,,,,,,,
4136,1991,Turkey,TUR,,5.0,5115.0,57.064,,22039.0,24225.0,150765.0,0.30686166882514954,0.5372599959373474,,,,,9.0,,0.33320048451423645,1760000000000000.0,2240000000000000.0,5693.8486328125,,,,,,,,,,,
4137,1992,Turkey,TUR,,5.0,5330.0,57.931,,24298.0,26706.0,158890.0,0.32100194692611694,0.5311850905418396,,,,,9.0,,0.34972813725471497,1950000000000000.0,2480000000000000.0,5913.60791015625,,,,,,,,,,,
4138,1993,Turkey,TUR,2578.0,5.0,5687.0,58.812,,26263.0,33719.0,179408.0,0.3343329131603241,0.3544992506504059,,,,,9.0,,0.40100806951522827,2100000000000000.0,3370000000000000.0,6253.10400390625,,0.18541504442691803,0.3095422685146332,0.40768036246299744,0.5046547651290894,0.6140418648719788,0.7420480847358704,0.9038013815879822,1.140806794166565,1.544608235359192,3.648176908493042
4139,1994,Turkey,TUR,,5.0,5279.0,59.706,,29191.0,26388.0,129734.0,0.42840737104415894,0.4686512351036072,,,,,9.0,,0.390076607465744,2420000000000000.0,2630000000000000.0,5822.5146484375,,,,,,,,,,,
4140,1995,Turkey,TUR,,5.0,5580.0,60.614,,36581.0,40211.0,169319.0,0.45353445410728455,0.5226820111274719,,,,,9.0,,0.4357221722602844,2610000000000000.0,3410000000000000.0,6111.3134765625,,,,,,,,,,,
4141,1996,Turkey,TUR,,5.0,5893.0,61.536,,45497.0,49454.0,181051.0,0.5244433879852295,0.3987826704978943,,,,,9.0,,0.493693083524704,3180000000000000.0,4110000000000000.0,6424.419921875,,,,,,,,,,,
4142,1997,Turkey,TUR,,5.0,6248.0,62.51,,52004.0,56536.0,189165.0,0.5737847685813904,0.42555442452430725,,,,,8.0,,0.5581226348876953,3790000000000000.0,5030000000000000.0,6762.552734375,,,,,,,,,,,
4143,1998,Turkey,TUR,2973.0,5.0,6327.0,63.451,,54541.0,55299.0,199580.0,0.5503557324409485,0.47098907828330994,,,,,8.0,,0.5746872425079346,4250000000000000.0,5150000000000000.0,6880.81787109375,,0.22670702636241913,0.36696937680244446,0.46720483899116516,0.565085768699646,0.670366644859314,0.7891018986701965,0.9579549431800842,1.1712075471878052,1.5701311826705933,3.2169525623321533
4144,1999,Turkey,TUR,,5.0,5907.0,65.293,,45723.0,48721.0,183823.0,0.5137768387794495,0.4259532392024994,,,,,8.0,,0.5672509074211121,3950000000000000.0,4960000000000000.0,6508.60107421875,,,,,,,,,,,
4145,2000,Turkey,TUR,,5.0,6239.0,66.23,,51148.0,62190.0,199267.0,0.5687745809555054,0.4928061366081238,,,,,8.0,,0.6520119309425354,4710000000000000.0,6220000000000000.0,6832.0830078125,,,,,,,,,,,
4146,2001,,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4147,2002,,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4148,1975,"Taiwan, China",TWN,,2.0,4128.0,16.00031,,6040.0,6549.0,15517.1318359375,0.811296820640564,,,,,,0.0,,0.5426041483879089,380000000000.0,404000000000.0,3917.3330078125,0.45554184913635254,,,,,,,,,,
4149,1976,"Taiwan, China",TWN,,2.0,4606.0,16.328020000000002,,8719.0,8315.0,18623.947265625,0.9146288633346558,,,,,,0.0,,0.6232079267501831,520000000000.0,503000000000.0,4366.6630859375,0.522544801235199,,,,,,,,,,
