code,year,GDP_growth_WB,openness_WB,investments,years_schooling,savings,gini,price_level_investment_PWT,gov_consumption_WB,inflation_WB,fertility_WB,GDP_PC
AUT,2010.0,1.92867305614,0.9868308627,22.6538466114,9.6,20.0169661245,0.276414808061,102.5384079,20.3811932016,1.81353503144,1.44,41781.4285532
BDI,1992.0,1.00999836586,0.382261314128,22.6076490328,1.916,3.91485524319,0.3372497406,68.70768503,19.2375890021,1.82333333333,7.465,403.55466364
BDI,1993.0,-6.2399999992,0.365429966028,24.6155746397,2.004,11.1137882349,0.348375930786,64.44416673,20.4914437775,9.67934658068,7.418,378.961204329
BDI,1994.0,-3.82999999669,0.387535235815,15.075063576,2.092,6.3206375624,0.355252380371,72.99316031,17.413924852,14.8528149834,7.368,365.786994822
BDI,1995.0,-7.92000000066,0.402046264145,13.909218194,2.18,6.73463920055,0.362128829956,71.26071413,19.0502875515,19.2632536383,7.318,343.969804127
BDI,1996.0,-8.00000000137,0.215737222729,18.0254030787,2.256,3.4492786487,0.369005241394,66.58904197,19.9923983276,26.4367816092,7.267,326.310370688
BDI,1997.0,-1.5899999972,0.242753792299,12.3459247375,2.332,6.00087306125,0.375881690979,75.2812408,16.7736289382,31.111589832,7.217,395.218566531
BDI,1998.0,4.74999999206,0.27440029985,13.3858070964,2.408,-0.0768485714465,0.403379070282,67.16551822,17.1414292854,12.5004107653,7.165,366.007224189
BDI,1999.0,-1.0099999962,0.235397452789,12.9424681599,2.484,3.08351434107,0.374446182251,60.31604205,18.1598594642,3.3854242734,7.112,354.610970643
BDI,2000.0,-0.856864059224,0.22553724489,8.91956885495,2.56,7.15448392476,0.366134185791,51.62767469,14.8566983264,24.3176809629,7.057,346.125586417
BDI,2001.0,2.05580710931,0.209640456147,10.1736292813,2.624,8.99094182367,0.357822227478,46.67133326,15.5330738166,9.24297175064,7.0,347.060222744
BDI,2002.0,4.44651941891,0.21673829407,10.0868300994,2.688,10.7970869936,0.349510269165,41.45927908,14.7329868449,-1.37097445286,6.939,339.250707932
BDI,2003.0,-1.22372795924,0.273763120796,12.2863950185,2.752,11.7878154541,0.341198310852,40.02029304,17.461335273,10.7616697252,6.873,336.072464899
BDI,2004.0,4.83365776165,0.315761181817,13.8335485651,2.816,10.1316588577,0.332886352539,41.98108759,19.2272662955,7.85168821771,6.803,352.190083547
BDI,2005.0,0.900000002864,0.416468056935,20.1103543405,2.88,16.0379572014,0.324574356079,46.91870229,18.9916418405,13.5236783558,6.729,341.144430407
BDI,2006.0,5.38465739821,0.541517904864,20.023209735,2.974,-0.898583026055,0.316262397766,48.57597704,19.7910971978,2.8090149783,6.649,347.090319941
BEL,1972.0,5.29560439445,0.845785344071,26.6005679926,7.808,15.6935895976,0.270535545349,81.41425346,18.1436683071,5.4475000002,2.09,9746.84963597
BEL,1973.0,6.38170205236,0.934460462468,27.6362035571,7.882,15.47043177,0.260158042908,90.14073726,18.422055652,6.95527790285,1.95,10851.4479425
BEL,1974.0,4.56525812252,1.0449554541,30.3398154407,7.956,15.8500910564,0.255030860901,96.16424924,18.7818125804,12.6778879545,1.83,11529.6457499
BEL,1975.0,-1.96594162131,0.908499238838,26.6733809663,8.03,12.3451608635,0.246157398224,104.8194711,20.9816205911,12.7682037562,1.74,11820.4101289
BEL,1976.0,5.65274592793,0.961030728012,27.0172553515,8.124,13.3333874814,0.242705364227,99.20861777,21.1374401404,9.15869980984,1.73,12619.7416432
BEL,1977.0,0.626154767536,0.949761478618,26.6754240754,8.218,11.1921506116,0.24295419693,107.8765096,21.6640238768,7.11084836756,1.71,13380.7686051
BEL,1978.0,2.84189658195,0.916363569774,26.4621594943,8.312,10.9293861426,0.241245994568,117.2790157,22.453226912,4.47059464825,1.69,14654.766064
BEL,1979.0,2.34107304265,1.00831528946,25.9976752765,8.406,8.86660480043,0.270172712962,121.2851836,22.7850105373,4.46908426842,1.69,15745.0298157
BEL,1980.0,4.44405404864,1.02306468932,26.9940681448,8.5,12.8035675521,0.236806144714,107.1721588,22.6906142642,6.65097520168,1.68,16640.5735388
BEL,1981.0,-0.279283635025,1.09417455197,22.9639372515,8.594,9.88008544062,0.236141490936,84.23044278,23.9132458543,7.62827454995,1.66,14867.4947567
BEL,1982.0,0.594986940717,1.17063656618,21.960080085,8.688,9.08839045288,0.229526748657,72.22428772,23.5747175573,8.72585066577,1.61,13926.8299115
BEL,1983.0,0.311842751848,1.1950920488,19.1140350183,8.782,8.81370657349,0.251534702301,65.37983237,23.234214217,7.66337000183,1.57,13402.8414256
BEL,1984.0,2.46638263296,1.27286163914,20.1399433638,8.876,10.2927756096,0.223975124359,56.27690896,23.1643096297,6.34751740089,1.54,13232.6895386
BEL,1985.0,1.65179286304,1.22963075595,19.3322900025,8.97,10.4337860504,0.242387232239,55.45915194,22.653834811,4.86767644853,1.51,13298.5957155
BEL,1986.0,1.82276212426,1.11494314343,18.9221370845,9.062,11.6481212974,0.230337047577,69.68467727,22.5088067547,1.29550135736,1.54,15491.9075115
BEL,1987.0,2.3066594193,1.09105393573,19.9880108102,9.154,12.6195038053,0.239448242187,79.79096824,22.3442440154,1.55448291602,1.54,17368.4306449
BEL,1988.0,4.72320891975,1.15559649666,22.2468738698,9.246,15.3300250094,0.248027374583,78.16267461,20.9766654596,1.1620508982,1.57,18767.9209628
BEL,1989.0,3.46916682101,1.24011646033,23.9471053571,9.338,16.5478653928,0.235581130981,73.02822635,20.2947094696,3.10545017767,1.58,19452.9647903
