country,year,gini_net,gini_market,rel_red,abs_red
Switzerland,1990,28.1584014892578,38.0812683105469,26.0570812225342,9.92286682128906
Switzerland,1991,29.5024356842041,39.4669914245605,25.2478218078613,9.96455574035645
Switzerland,1992,30.8464679718018,40.852710723877,24.4934616088867,10.0062427520752
Switzerland,1993,29.9322643280029,39.6036758422852,24.4204902648926,9.67141151428223
Switzerland,1994,29.0180606842041,38.3546409606934,24.3427658081055,9.33658027648926
Switzerland,1995,28.1038570404053,37.1056060791016,24.2598094940186,9.00174903869629
Switzerland,1996,27.1896533966064,35.856575012207,24.1710796356201,8.66692161560059
Switzerland,1997,26.2754497528076,34.6075401306152,24.0759391784668,8.33209037780762
Switzerland,1998,25.3612461090088,33.3585052490234,23.9736728668213,7.99725914001465
Switzerland,1999,27.2112216949463,37.4275817871094,27.2963409423828,10.2163600921631
Switzerland,2000,27.8751163482666,38.55224609375,27.6952209472656,10.6771297454834
Switzerland,2001,27.4783115386963,38.9285278320312,29.4134330749512,11.450216293335
Switzerland,2002,26.9921379089355,37.985710144043,28.9413356781006,10.9935722351074
Switzerland,2003,27.2169055938721,40.2089538574219,32.3113327026367,12.9920482635498
Switzerland,2004,26.9764671325684,38.9539642333984,30.7478256225586,11.9774971008301
Switzerland,2005,31.6273403167725,47.5111618041992,33.4317665100098,15.8838214874268
Switzerland,2006,29.466194152832,44.4451560974121,33.7021255493164,14.9789619445801
Switzerland,2007,30.5588092803955,41.3680686950684,26.1294765472412,10.8092594146729
Switzerland,2008,30.1133003234863,43.5566825866699,30.8641090393066,13.4433822631836
Switzerland,2009,31.2032947540283,43.0953140258789,27.5946922302246,11.8920192718506
Switzerland,2010,30.2165546417236,42.0182685852051,28.0871028900146,11.8017139434814
Switzerland,2011,30.5745487213135,41.3182945251465,26.0023937225342,10.743745803833
Switzerland,2012,30.7675037384033,42.0299911499023,26.7963123321533,11.262487411499
Syria,1997,33.3797645568848,31.8160171508789,,
Syria,1998,34.0485153198242,33.2505378723145,,
Syria,1999,34.7172660827637,34.68505859375,,
Syria,2000,35.3860168457031,36.1195793151855,,
Syria,2001,36.0547676086426,37.5541000366211,,
Syria,2002,36.723518371582,38.9886207580566,,
Syria,2003,37.3922691345215,40.4231414794922,,
Syria,2004,34.5908393859863,39.447437286377,,
Syria,2005,34.4727249145508,37.9218444824219,,
Syria,2006,34.3546142578125,36.3962478637695,,
Syria,2007,34.236499786377,34.8706550598145,,
Taiwan,1964,28.9290676116943,29.582010269165,,
Taiwan,1968,29.5885715484619,30.5805492401123,,
Taiwan,1970,28.2112255096436,29.5764961242676,,
Taiwan,1971,26.8218269348145,27.7765083312988,,
Taiwan,1972,25.7885780334473,28.7759571075439,,
Taiwan,1974,26.2857685089111,28.2865600585938,,
Taiwan,1975,25.7768707275391,27.7914009094238,7.24875354766846,2.01453018188477
Taiwan,1976,26.5927276611328,28.0527954101562,5.20471382141113,1.46006774902344
Taiwan,1977,25.8976573944092,27.0416584014893,4.23051357269287,1.14400100708008
Taiwan,1978,25.8453788757324,27.0970344543457,4.61916065216064,1.25165557861328
Taiwan,1979,26.7078323364258,27.2057361602783,1.83014285564423,0.497903823852539
Taiwan,1980,26.2414608001709,27.2461585998535,3.68748426437378,1.00469779968262
Taiwan,1981,26.5231418609619,27.3839893341064,3.14361596107483,0.860847473144531
Taiwan,1982,26.7261276245117,27.4010982513428,2.46329760551453,0.674970626831055
Taiwan,1983,26.5917682647705,27.2998027801514,2.59355187416077,0.708034515380859
Taiwan,1984,26.9906311035156,27.3626232147217,1.35948991775513,0.371992111206055
Taiwan,1985,26.7904205322266,27.5078144073486,2.60796403884888,0.71739387512207
Taiwan,1986,26.7845191955566,27.6811752319336,3.23922681808472,0.896656036376953
Taiwan,1987,27.0200748443604,28.0076179504395,3.52598023414612,0.987543106079102
Taiwan,1988,27.3810367584229,28.642484664917,4.40411472320557,1.26144790649414
Taiwan,1989,27.8526725769043,28.4740333557129,2.18220138549805,0.621360778808594
Taiwan,1990,27.5589008331299,28.6633625030518,3.85321736335754,1.10446166992188
Taiwan,1991,27.2836875915527,28.1237773895264,2.98711585998535,0.840089797973633
Taiwan,1992,27.6332988739014,29.6234817504883,6.71826124191284,1.99018287658691
Taiwan,1993,28.1175060272217,30.145414352417,6.72708702087402,2.02790832519531
Taiwan,1994,28.3611526489258,30.7927551269531,7.89667081832886,2.43160247802734
Taiwan,1995,28.4458713531494,31.4258575439453,9.48259353637695,2.9799861907959
Taiwan,1996,28.643518447876,31.0099067687988,7.63107204437256,2.36638832092285
Taiwan,1997,28.5325832366943,29.8500785827637,4.41370820999146,1.31749534606934
Taiwan,1998,29.0450878143311,30.5849170684814,5.03460311889648,1.53982925415039
Taiwan,1999,28.9030895233154,30.6150512695312,5.59189558029175,1.71196174621582
Taiwan,2000,28.8722915649414,30.7654056549072,6.15338563919067,1.89311408996582
Taiwan,2001,30.0458812713623,31.2534198760986,3.86370062828064,1.20753860473633
Taiwan,2002,30.5321254730225,31.5828704833984,3.32694578170776,1.05074501037598
Taiwan,2003,31.0034027099609,31.8362236022949,2.61595368385315,0.832820892333984
Taiwan,2004,30.6937484741211,31.9603252410889,3.96296572685242,1.26657676696777
Taiwan,2005,30.3840942382812,32.0844268798828,5.29955768585205,1.70033264160156
Taiwan,2006,31.0131607055664,32.6218719482422,4.93138837814331,1.60871124267578
Taiwan,2007,30.8959579467773,33.6549110412598,8.19777297973633,2.75895309448242
Taiwan,2008,31.4610500335693,32.0593147277832,1.86611819267273,0.598264694213867
Taiwan,2009,31.3320407867432,34.2716217041016,8.57730293273926,2.9395809173584
Taiwan,2010,31.7080459594727,32.9158935546875,3.66949653625488,1.20784759521484
Taiwan,2011,31.3679084777832,33.2397155761719,5.6312370300293,1.87180709838867
Taiwan,2012,31.3311634063721,32.3280944824219,3.08379173278809,0.996931076049805
Tajikistan,1981,22.1486263275146,37.2779006958008,,
