code,year,investments_WB,K_over_PIB,GDP_PC_PWT,years_schooling,openness_WB,savings_OECD,gini_market_SWIID,cap_share_income,catch-up,growth,10y_gini_var,10y_schl_var
FRA,1984.0,21.1509086195,315.6,9.84261659906,6.72,0.472148163597,4.35568056276,0.494560470581,18.0,54401.6118431,-0.0189520824486,0.00763895034783,0.14
FRA,1985.0,21.0900857189,313.94,9.831414218,6.91,0.466800524386,4.31908103652,0.481809005737,20.0,53883.3089755,-0.0112653626902,0.00472603389186,0.147142857143
FRA,1986.0,21.6702492132,317.64,9.87364633279,7.058,0.405758240468,5.80372535929,0.475322647095,23.0,46511.4113945,0.0413527614578,0.00332448482512,0.14725
FRA,1987.0,22.1634119422,324.98,9.89545925074,7.206,0.399735062984,5.40911136775,0.472427330017,24.0,45649.8640638,0.0215767366311,0.00263339572478,0.147333333333
FRA,1988.0,23.2364725578,325.07,9.94629099525,7.354,0.410756323135,6.84161713885,0.466306877136,26.0,46483.5359668,0.0495614264156,0.0017580108642,0.1474
FRA,1989.0,24.1526823616,337.77,9.98438626415,7.502,0.436753478651,7.76996038515,0.474180793762,27.0,49071.5049199,0.0373787713474,0.0026437110901,0.1582
FRA,1990.0,24.292503403,343.02,10.0095265737,7.65,0.424252357062,7.66256670196,0.432873458862,26.0,47432.7165751,0.0248269236659,-0.000502784729,0.169
FRA,1991.0,23.485842831,341.69,10.0142316402,7.884,0.42666929174,6.47135388183,0.446310081482,26.0,47658.1905549,0.00469401504664,0.0047729682922,0.1734
FRA,1992.0,21.8468545733,337.0,10.0266284642,8.118,0.416571886482,6.10243648848,0.449964332581,26.0,46414.231687,0.0123202999036,-0.0008026504516,0.1778
FRA,1993.0,19.4364526769,342.4,10.0149383877,8.352,0.395715270933,4.62102187035,0.457273674011,26.0,44194.4315813,-0.0117586724973,-0.0015463447571,0.1822
FRA,1994.0,20.2064323616,339.18,10.0377422591,8.586,0.414751189578,5.14226468692,0.481283950806,26.0,46106.5189626,0.0225458282991,-0.0013276519775,0.1866
FRA,1995.0,20.4010393749,333.35,10.057140782,8.82,0.432720228382,5.73419528853,0.473497123718,26.0,47910.1984798,0.0192115823328,-0.0008311882019,0.191
FRA,1996.0,19.5180904722,336.34,10.0676797855,9.006,0.439365344136,5.4811549307,0.503996505737,26.0,48537.3750141,0.0104836627486,0.0028673858642,0.1948
FRA,1997.0,19.3478075214,340.14,10.1211458705,9.192,0.475813220962,6.87738076645,0.495558929443,27.0,51947.9228701,0.0520619101809,0.0023131599426,0.1986
FRA,1998.0,20.5757976296,341.65,10.1838736988,9.378,0.490057227976,8.14196011705,0.491898765564,28.0,52714.2602754,0.0608009377044,0.0025591888428,0.2024
FRA,1999.0,21.255270179,359.05,10.221589296,9.564,0.492330056478,8.91447627718,0.479515647888,28.0,52457.7944047,0.0370132219657,0.0005334854126,0.2062
FRA,2000.0,22.3863413728,375.67,10.2695910545,9.75,0.552593645876,8.53691132382,0.482974815369,28.0,58131.9048121,0.0468678889531,0.0050101356507,0.21
FRA,2001.0,22.0726142006,384.54,10.2996457122,9.824,0.54316667627,8.11023229526,0.477505302429,27.0,56662.2187661,0.0296075073986,0.0031195220947,0.194
FRA,2002.0,21.2296120016,399.39,10.3095669138,9.898,0.524155109051,6.76182477251,0.46113910675,25.0,54523.6330869,0.00987214875572,0.0011174774169,0.178
FRA,2003.0,21.098508768,423.59,10.2553492156,9.972,0.501319744625,6.10331505681,0.481265296936,26.0,52942.4431147,-0.0557144042371,0.0023991622925,0.162
FRA,2004.0,21.8033505576,456.79,10.2702088099,10.046,0.511967780402,6.44660852487,0.475430831909,26.0,53849.0086348,0.0147497354074,-0.0005853118897,0.146
FRA,2005.0,22.3756728357,499.89,10.2811559142,10.12,0.531520143027,5.8787975923,0.476528587341,26.0,55736.6882251,0.0108874027784,0.0003031463623,0.13
FRA,2006.0,23.1735632265,533.82,10.3061551599,10.232,0.551872450111,6.13446416517,0.475895271301,26.0,57463.2687584,0.0246893523014,-0.0028101234436,0.1226
FRA,2007.0,24.1112830028,553.46,10.3554256652,10.344,0.555477033618,6.50135942889,0.472093544006,27.0,56999.3218752,0.0480764054451,-0.0023465385437,0.1152
FRA,2008.0,24.0879324599,552.55,10.3578373954,10.456,0.565238369617,5.56825412731,0.461116943359,26.0,57958.0714115,0.0024088243124,-0.0030781822205,0.1078
FRA,2009.0,21.3046095006,562.61,10.3295018902,10.568,0.495678480385,1.85753915515,0.461809806824,26.0,51261.8401972,-0.0287407743446,-0.0017705841064,0.1004
FRA,2010.0,21.911241588,574.56,10.3541527148,10.68,0.539684390294,2.44075375248,0.468216400146,27.0,55400.3633102,0.024349474265,-0.0014758415223,0.093
AUS,1975.0,26.8859100052,349.85,9.78563437446,10.52,0.290745924353,11.523752255,0.324507789612,17.0,33803.2393188,-0.0104658237493,-0.0041317825318,0.164
AUS,1976.0,26.5015033073,346.31,9.81357216903,10.656,0.269585087192,10.6498025692,0.324285545349,17.0,31207.2252848,0.0275511434832,-0.00348019282033,0.159333333333
AUS,1977.0,27.0370794828,342.35,9.80918714631,10.792,0.287290457685,8.21375415029,0.36162563324,18.0,33279.7811117,-0.00439465100077,0.00235127585271,0.156
AUS,1978.0,25.8825325344,349.14,9.84934975457,10.928,0.282763424035,10.2072167124,0.370506248474,18.0,32544.4712007,0.0393667804417,0.00316744327538,0.1535
AUS,1979.0,27.9198143068,337.7,9.87352790045,11.064,0.297345431526,11.1461862041,0.412847900391,20.0,34084.9098609,0.0238881960311,0.00752013312444,0.151555555556
AUS,1980.0,27.1518445445,338.37,9.89475926999,11.2,0.324141011801,11.0257557023,0.377460327148,21.0,37021.5007387,0.0210075706565,0.0032293624877,0.15
AUS,1981.0,28.7379228245,346.62,9.92967686106,11.2,0.317094506159,9.50508814513,0.404560623169,21.0,35993.2932019,0.0343150059626,0.0061075820923,0.1336
AUS,1982.0,29.9015418276,348.07,9.89026364746,11.2,0.304246008683,5.88253966574,0.389164009094,20.0,34776.2661302,-0.0402002197377,0.0051880302429,0.1172
AUS,1983.0,25.3580365787,352.49,9.93312964019,11.2,0.292751445637,8.26844920287,0.417238731384,20.0,33209.3319708,0.041960234242,0.008899482727,0.1008
AUS,1984.0,26.6813232144,346.78,9.9585342718,11.2,0.286252689508,9.24462759255,0.447441482544,23.0,32320.3838698,0.0250846493544,0.0170796508789,0.0844
AUS,1985.0,28.0804073153,351.35,9.97176072079,11.2,0.326077887137,7.09181967383,0.443039550781,22.0,36725.246548,0.0131393638858,0.0118531761169,0.068
AUS,1986.0,28.5611057301,351.39,9.97564859508,11.196,0.331346186369,5.89711373905,0.450971946716,22.0,37290.9616433,0.0038803262873,0.0126686401367,0.054
AUS,1987.0,27.4224538293,352.18,10.0355222863,11.192,0.326185634841,8.45379022602,0.436427497864,23.0,36277.523951,0.0581165057596,0.0074801864624,0.04
AUS,1988.0,28.023046253,360.38,10.0915952888,11.188,0.326548246534,9.44990646887,0.437139167786,25.0,35888.0133956,0.0545298883036,0.0066632919312,0.026
AUS,1989.0,29.6583394962,389.13,10.1178513393,11.184,0.321548592683,8.20072954767,0.437687606812,25.0,35132.0487581,0.0259143574473,0.0024839706421,0.012
AUS,1990.0,28.9943229907,403.87,10.0938609734,11.18,0.322639240162,4.24574810458,0.45814781189,23.0,35440.7434908,-0.0242804498335,0.0080687484742,-0.002
AUS,1991.0,24.2594891699,418.1,10.0840677266,11.184,0.322939141545,1.50404206873,0.423639602661,21.0,35549.8296829,-0.00984135750681,0.0019078979492,-0.0016
AUS,1992.0,22.3740740128,427.27,10.1121546543,11.188,0.331414168403,3.39415589827,0.413377838135,23.0,36256.6042667,0.0276961570237,0.0024213829041,-0.0012
AUS,1993.0,23.6258018596,419.32,10.1432988379,11.192,0.354759802508,4.80995079466,0.384175643921,25.0,38534.0776005,0.0306641992946,-0.0033063087463,-0.0008
AUS,1994.0,24.2814740203,421.3,10.1870938789,11.196,0.364769670928,3.96929497088,0.420453147888,25.0,39206.237737,0.0428498861198,-0.0026988334656,-0.0004
AUS,1995.0,25.9681084201,422.97,10.2272040562,11.2,0.377309031912,4.78032365396,0.473032417297,25.0,40143.8959122,0.0393164122022,0.0029992866516,0.0
AUS,1996.0,24.8088702359,409.79,10.2611934417,11.174,0.382183908046,6.13773934417,0.457067337036,24.0,40297.2715033,0.033418235605,0.000609539032,-0.0022
AUS,1997.0,24.8274709697,417.15,10.2983059168,11.148,0.379504575321,5.64654081426,0.453721809387,24.0,39604.3706125,0.0364322480844,0.0017294311523,-0.0044
AUS,1998.0,25.4965779313,427.42,10.3307853367,11.122,0.399722089628,4.72637337302,0.472606811523,24.0,41322.5477544,0.0319576280158,0.0035467643737,-0.0066
AUS,1999.0,26.1294363661,435.12,10.3697591952,11.096,0.390063249404,5.47456744682,0.472004814148,24.0,39848.6968196,0.0382241488858,0.0034317207336,-0.0088
AUS,2000.0,26.3076485331,443.46,10.3738275743,11.07,0.409045779807,4.65471107639,0.499859848022,25.0,41734.7815023,0.00406011444389,0.0041712036132,-0.011
AUS,2001.0,23.4502375851,457.37,10.39994906,11.132,0.441179431696,5.72984969232,0.489652481079,24.0,44639.6046743,0.0257832710005,0.0066012878418,-0.0052
AUS,2002.0,24.426988484,470.46,10.420261893,11.194,0.413267798266,5.12763512838,0.479517440796,25.0,41536.7867382,0.0201079171949,0.0066139602661,0.0006
AUS,2003.0,25.9536417224,486.73,10.4504577143,11.256,0.399679038865,5.82879672877,0.475930976868,25.0,39760.1454755,0.0297444817804,0.0091755332947,0.0064
AUS,2004.0,27.0888988735,505.64,10.4688789432,11.318,0.367277468371,5.08748504494,0.468487472534,26.0,36300.8402839,0.0182525951324,0.0048034324646,0.0122
AUS,2005.0,27.4526563325,540.68,10.4867167431,11.38,0.388650319059,6.00029673174,0.459893760681,24.0,38167.0440825,0.0176796480939,-0.0013138656616,0.018
AUS,2006.0,27.6834674307,560.65,10.5025425951,11.412,0.410172485349,5.83221509865,0.476543655396,25.0,40046.1327219,0.015701281206,0.001947631836,0.0238
AUS,2007.0,27.8689852319,580.91,10.5157170711,11.444,0.41402570007,6.59574630648,0.471504135132,24.0,40222.4276771,0.0130880724953,0.0017782325745,0.0296
